utime,vel vx,vel vy,vel wz,odometry x,odometry y,odometry theta,apriltag id,apriltag longitude,apriltag latitude,apriltag world_x,apriltag world_y
1712956838603960,0.2867250443,0,1.867971301,0.5634977818,0.01559364423,0.6193140149,-1,-1,-1,-1,-1
1712956838644410,0.2874481976,0,1.84592998,0.5728603005,0.02226792276,0.6931512356,-1,-1,-1,-1,-1
1712956838685890,0.2853046358,0,1.890845776,0.5816389918,0.02955990285,0.7687850595,-1,-1,-1,-1,-1
1712956838726300,0.2887181044,0,1.86077857,0.5899397135,0.0375892967,0.8432161808,-1,-1,-1,-1,-1
1712956838766720,0.2886609733,0,1.887178659,0.5976188183,0.04621201381,0.9187033176,-1,-1,-1,-1,-1
1712956838807260,0.2836574614,0,1.854948878,0.6045043468,0.05523022637,0.9929012656,-1,-1,-1,-1,-1
1712956838847700,0.2874197662,0,1.845747232,0.6107845902,0.06486010551,1.066731215,-1,-1,-1,-1,-1
1712956838888120,0.2855135202,0,1.8468889,0.6163005829,0.07486023009,1.140606761,-1,-1,-1,-1,-1
1712956838928540,0.2834855616,0,1.820482731,0.6210296154,0.08516647667,1.213426113,-1,-1,-1,-1,-1
1712956838968960,0.2875761986,0,1.819987297,0.625053525,0.09594276547,1.286225557,-1,-1,-1,-1,-1
1712956839010610,0.2831698656,0,1.844433308,0.6282334924,0.1068140194,1.360002875,-1,-1,-1,-1,-1
1712956839051050,0.2853793502,0,1.846021175,0.6306219697,0.1179765239,1.433843732,-1,-1,-1,-1,-1
1712956839091480,0.2865059078,0,1.833188057,0.6321865916,0.1293294579,1.507171273,-1,-1,-1,-1,-1
1712956839132950,0.2813179791,0,1.839172363,0.6329020858,0.1405594051,1.580738187,-1,-1,-1,-1,-1
1712956839173380,0.2791992128,0,1.016900897,0.6327910423,0.151726827,1.621414185,-1,-1,-1,-1,-1
1712956839214650,0.2908593416,0,0.4063361585,0.6322023869,0.1633463055,1.637667656,-1,-1,-1,-1,-1
1712956839255090,0.2979071736,0,0.133782953,0.6314061284,0.1752359569,1.643018961,-1,-1,-1,-1,-1
1712956839295500,0.2865767777,0,-0.01338432916,0.6305789351,0.1866691411,1.642483592,-1,-1,-1,-1,-1
1712956839335920,0.287633121,0,-0.05353962258,0.6297548413,0.1981449127,1.640341997,-1,-1,-1,-1,-1
1712956839376330,0.2887252867,0,-0.04016169533,0.6289523244,0.2096660137,1.638735533,-1,-1,-1,-1,-1
